fips	Elevation	Incidence	weight	Cancer	plot_type	name	population	lung	smoking	elevation	education	black	no_lung
49057	1.38761	32.3	443.320425877265	Lung	bivariate	Weber, UT	196533	32.3	42.4	1.38761	22.5	1.8	355.6
53001	0.37034	46.5	128.171759760097	Lung	bivariate	Adams, WA	16428	46.5	37.9	0.37034	13.4	0.4	342.8
53003	0.37187	66.8	143.356199726416	Lung	bivariate	Asotin, WA	20551	66.8	52.25	0.37187	18.2	0.4	305.3
53005	0.1679	64.9	377.458607002145	Lung	bivariate	Benton, WA	142475	64.9	46.45	0.1679	27.6	1.3	391.4
53007	0.48124	51.4	258.10075552001	Lung	bivariate	Chelan, WA	66616	51.4	46.5	0.48124	23.2	0.4	400.2
53009	0.14544	65.8	256.353271873015	Lung	bivariate	Clallam, WA	65717	65.8	54.65	0.14544	23.3	1.1	423.1
53011	0.08758	57.8	500	Lung	bivariate	Clark, WA	345238	57.8	51	0.08758	25.7	2.3	368.9
53015	0.08174	80.2	304.873744359858	Lung	bivariate	Cowlitz, WA	92948	80.2	51.85	0.08174	14.7	0.8	415.1
53017	0.36223	52.4	180.563008393192	Lung	bivariate	Douglas, WA	32603	52.4	45.7	0.36223	17.3	0.6	428.2
53021	0.15124	62.8	222.141846575561	Lung	bivariate	Franklin, WA	49347	62.8	37.55	0.15124	14.6	2.9	374.8
53025	0.3723	59.7	273.309348541172	Lung	bivariate	Grant, WA	74698	59.7	44.7	0.3723	14.4	1.3	367.5
53027	0.06532	101	259.218054926735	Lung	bivariate	Grays Harbor, WA	67194	101	57.05	0.06532	14.5	0.7	439
53029	0.05718	54.7	267.503271008038	Lung	bivariate	Island, WA	71558	54.7	50.75	0.05718	29.8	3	408.2
53031	0.04286	64.9	161.099348229594	Lung	bivariate	Jefferson, WA	25953	64.9	55.85	0.04286	34.8	0.7	432.3
