fips	Elevation	Incidence	weight	Cancer
06017	0.85998	47.8	397.717236237003	Colorectal
06019	0.11653	40.9	500	Colorectal
06023	0.12935	50.2	357.523425805918	Colorectal
06025	-0.01103	39.2	377.307566846996	Colorectal
06029	0.28028	44.8	500	Colorectal
06031	0.09173	45.6	359.806892652156	Colorectal
06033	0.50428	51.8	241.472565729525	Colorectal
06037	0.15581	45.2	500	Colorectal
06039	0.24307	48.3	350.868921393731	Colorectal
06041	0.05397	41.9	498.236891448235	Colorectal
06047	0.05104	44.3	458.861634918414	Colorectal
06053	0.07103	35.9	500	Colorectal
06055	0.07428	50	352.53226802663	Colorectal
06057	0.88241	38.1	303.369411773831	Colorectal
06059	0.06836	41.4	500	Colorectal
06061	0.2958	39.6	498.396428558632	Colorectal
06065	0.34742	44.7	500	Colorectal
06067	0.0261	44.4	500	Colorectal
06071	0.53363	47.3	500	Colorectal
06073	0.12913	41.4	500	Colorectal
06075	0.05683	44.9	500	Colorectal
06077	0.01064	42.3	500	Colorectal
06079	0.16742	37.5	497.588183139431	Colorectal
06081	0.05823	44.1	500	Colorectal
06083	0.08125	36.1	500	Colorectal
06085	0.05731	42.2	500	Colorectal
06087	0.09877	38.1	500	Colorectal
06089	0.29698	38.1	404.049501917772	Colorectal
06093	1.13598	36.3	210.478027356777	Colorectal
06095	0.03694	48.6	500	Colorectal
06097	0.068	45.8	500	Colorectal
06099	0.03307	48	500	Colorectal
06103	0.18074	51.9	236.725579521944	Colorectal
06107	0.13237	42.1	500	Colorectal
06109	0.77616	47.2	233.454492353435	Colorectal
06111	0.15456	44.6	500	Colorectal
06113	0.01839	36.9	410.682359007542	Colorectal
06115	0.08789	48.1	245.395598982541	Colorectal
08001	1.61368	48.4	500	Colorectal
08003	2.30932	51.5	122.335603975294	Colorectal
08005	1.70136	37.6	500	Colorectal
08013	1.64471	38.5	500	Colorectal
08015	2.51958	31	127.444105395267	Colorectal
08029	1.82309	31.5	166.83524807426	Colorectal
08031	1.63732	42.9	500	Colorectal
08041	1.94199	39.2	500	Colorectal
08043	1.7424	39.4	214.813872922584	Colorectal
08045	2.03862	30.5	209.262992428188	Colorectal
08051	2.67836	33.6	118.135515404979	Colorectal
08059	1.76535	37.6	500	Colorectal
08067	2.22172	28.9	212.087246198351	Colorectal
08069	1.60459	38.3	500	Colorectal
08071	2.00886	48.4	123.316665540388	Colorectal
08075	1.22997	45.9	143.19217855735	Colorectal
08077	1.47285	36.4	340.961874701557	Colorectal
08081	1.94815	52.2	114.821600755259	Colorectal
08083	1.99752	37.2	154.369686143362	Colorectal
08085	1.91971	32	182.84419597023	Colorectal
08087	1.32823	42.3	164.836282413794	Colorectal
08089	1.27874	59.1	142.516665692122	Colorectal
08097	2.75963	30.1	121.950809755409	Colorectal
08099	1.11224	51.2	120.345336428131	Colorectal
08101	1.49269	50.5	376.127637910324	Colorectal
08105	2.4774	48.9	111.413643688733	Colorectal
08107	2.33629	36.4	142.80406156689	Colorectal
08123	1.46872	41.8	425.365724994386	Colorectal
16001	0.83037	40.9	500	Colorectal
16005	1.4416	41.7	274.890887444455	Colorectal
16011	1.40641	38.7	204.2914584607	Colorectal
16013	1.93417	22.2	137.807837222707	Colorectal
16017	0.80397	53.2	191.924464308227	Colorectal
16019	1.45545	37.8	287.266426858413	Colorectal
16027	0.75237	37.2	362.547927866096	Colorectal
16031	1.35891	30	146.342065039414	Colorectal
16041	1.57506	34.9	106.437775249204	Colorectal
16043	1.58565	35.4	108.715224324839	Colorectal
16045	0.76313	41.4	123.211200789539	Colorectal
16047	1.05944	45.3	118.974787245029	Colorectal
16049	1.11151	51	124.543165207891	Colorectal
16051	1.48497	30.7	138.401589586247	Colorectal
16053	1.15273	47.2	135.432640083549	Colorectal
16055	0.72524	45.1	329.674081480483	Colorectal
16057	0.82288	29.3	186.909068800848	Colorectal
16067	1.27387	41.5	142.035206903077	Colorectal
16069	0.42658	37.7	193.416648714634	Colorectal
16073	0.92709	34.1	103.169763012231	Colorectal
16075	0.68787	46	143.450339839263	Colorectal
16079	1.0906	51	117.349904132896	Colorectal
16083	1.16248	42.7	253.542895778998	Colorectal
30013	1.05983	47.1	283.473102780493	Colorectal
30017	0.73941	69.8	108.148046676766	Colorectal
30027	1.25059	60.4	109.055031979272	Colorectal
30029	0.99844	41.8	272.893752218698	Colorectal
30031	1.55282	34.5	260.443851914381	Colorectal
30041	0.86015	61.9	129.123971438304	Colorectal
30043	1.60127	49.3	100.244700608062	Colorectal
30049	1.29116	45.6	236.042369078096	Colorectal
30053	1.09585	43.1	137.247950804374	Colorectal
30063	1.09651	36.2	309.51898164733	Colorectal
30067	1.65706	35.2	125.275695966935	Colorectal
30081	1.39823	33.7	189.921036222952	Colorectal
30089	1.16545	48.3	101.128630960772	Colorectal
30093	1.73005	49.9	186.026879778165	Colorectal
30111	0.9978	47.8	359.655390617185	Colorectal
32001	1.24885	58.5	154.861228201251	Colorectal
32003	0.65514	46.7	500	Colorectal
32005	1.64554	41.6	203.123115375872	Colorectal
32007	1.75552	37.7	212.816822643324	Colorectal
32013	1.50769	42.8	126.9094165143	Colorectal
32019	1.45403	54.3	185.744448100071	Colorectal
32031	1.46328	40.5	500	Colorectal
35001	1.63461	38.8	500	Colorectal
35005	1.1099	37.3	247.753910160869	Colorectal
35007	2.133	37.8	119.117588961496	Colorectal
35009	1.30869	43.2	212.235718011837	Colorectal
35013	1.23261	38.1	417.949757746072	Colorectal
